ActivityID,Activity Media Name,ActivityStartDate,ActivityStartTime,Activity Start Time Zone,Activity Type,AnalysisStartDate,CharacteristicName,LaboratoryName,MethodSpeciation,MonitoringLocationID,ProjectID,ResultAnalyticalMethodContext,ResultAnalyticalMethodID,ResultDetectionCondition,DetecQuantLimitMeasure,ResultDetecQuantLimitType,ResultDetecQuantLimitUnit,ResultQualifier,ResultSampleFraction,ResultStatusID,ResultUnit,ResultValue,ResultValueType,Sample Collection Equipment Name,Sample Collection Method ID
1406012-01,Water,2014-06-09,09:20,MDT,Sample-Routine,2014-06-13 00:00:00,Total Dissolved Solids,"U.S. EPA, Region 8 Laboratory",,384113109391001,UNGWMN,USEPA,160.1,,2.0,Method Detection Level,mg/l,,Dissolved,Final,mg/l,895.0,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Cadmium,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,Below Reporting Limit,0.2,,ug/l,BRL,Dissolved,Final,ug/l,,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Chromium,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,,,,,BRL,Dissolved,Final,ug/l,2.0,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Copper,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,Below Reporting Limit,1.0,,ug/l,BRL,Dissolved,Final,ug/l,,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Silver,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,,,,,BRL,Dissolved,Final,ug/l,0.5,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Aluminum,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.7,Below Reporting Limit,10.0,,ug/l,BRL,Dissolved,Final,ug/l,,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Beryllium,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,,,,,BRL,Dissolved,Final,ug/l,1.0,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Nickel,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,,,,,BRL,Dissolved,Final,ug/l,5.0,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Arsenic,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,,,,,BRL,Dissolved,Final,ug/l,17.1,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Barium,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.7,,40.0,,ug/l,,Dissolved,Final,ug/l,65.1,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Manganese,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,,,,,BRL,Dissolved,Final,ug/l,16.1,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Zinc,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,,,,,BRL,Dissolved,Final,ug/l,11.2,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-18 00:00:00,Lead,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,200.8,,,,,BRL,Dissolved,Final,ug/l,0.1,Actual,Water Bottle,GRAB
2051036,Water,2017-04-10,13:25,MDT,Sample-Routine,2017-04-20 00:00:00,Selenium,Utah Public Health Laboratory,,401656112020301,UNGWMN,USEPA,3114C,,,,,BRL,Dissolved,Final,ug/l,1.0,Actual,Water Bottle,GRAB
